14	7	E	-4323147.286966812	200
emissionprobs	10	0	H2Aub1	1	0.004616660422563481
emissionprobs	10	1	RING1B	0	0.9852868336210644
emissionprobs	10	1	RING1B	1	0.0147131663789356
emissionprobs	10	2	RNAPII_8WG16	0	0.9437164814393012
emissionprobs	10	2	RNAPII_8WG16	1	0.05628351856069879
emissionprobs	10	3	RNAPII_S2P	0	0.10826388033276194
emissionprobs	10	3	RNAPII_S2P	1	0.8917361196672381
emissionprobs	10	4	RNAPII_S5P	0	0.6960148602103993
emissionprobs	10	4	RNAPII_S5P	1	0.3039851397896007
emissionprobs	10	5	RNAPII_S7P	0	0.6243017079750479
emissionprobs	10	5	RNAPII_S7P	1	0.3756982920249521
emissionprobs	10	6	SUZ12	0	0.9822154271937998
emissionprobs	10	6	SUZ12	1	0.017784572806200098
emissionprobs	11	0	H2Aub1	0	0.9955340311732767
emissionprobs	11	0	H2Aub1	1	0.004465968826723332
emissionprobs	11	1	RING1B	0	0.9959577533418263
emissionprobs	11	1	RING1B	1	0.00404224665817361
emissionprobs	11	2	RNAPII_8WG16	0	0.9964170042768812
emissionprobs	11	2	RNAPII_8WG16	1	0.0035829957231188338
emissionprobs	11	3	RNAPII_S2P	0	0.6144662947266039
emissionprobs	11	3	RNAPII_S2P	1	0.38553370527339614
emissionprobs	11	4	RNAPII_S5P	0	0.967961065786054
emissionprobs	11	4	RNAPII_S5P	1	0.03203893421394595
emissionprobs	11	5	RNAPII_S7P	0	0.9402938973670804
emissionprobs	11	5	RNAPII_S7P	1	0.05970610263291965
emissionprobs	11	6	SUZ12	0	0.9915264101251398
emissionprobs	11	6	SUZ12	1	0.008473589874860167
emissionprobs	12	0	H2Aub1	0	0.997150271791596
emissionprobs	12	0	H2Aub1	1	0.002849728208403967
emissionprobs	12	1	RING1B	0	0.9963631231042951
emissionprobs	12	1	RING1B	1	0.003636876895704917
emissionprobs	12	2	RNAPII_8WG16	0	0.9994107661152408
emissionprobs	12	2	RNAPII_8WG16	1	5.892338847591688E-4
emissionprobs	12	3	RNAPII_S2P	0	0.93137975353059
emissionprobs	12	3	RNAPII_S2P	1	0.06862024646941002
emissionprobs	12	4	RNAPII_S5P	0	0.9949319661682589
emissionprobs	12	4	RNAPII_S5P	1	0.005068033831741099
emissionprobs	12	5	RNAPII_S7P	0	0.9901495219905212
emissionprobs	12	5	RNAPII_S7P	1	0.00985047800947878
emissionprobs	12	6	SUZ12	0	0.9913421132293174
emissionprobs	12	6	SUZ12	1	0.00865788677068256
emissionprobs	13	0	H2Aub1	0	0.9908012864634742
emissionprobs	13	0	H2Aub1	1	0.009198713536525785
emissionprobs	13	1	RING1B	0	0.7301243523830104
emissionprobs	13	1	RING1B	1	0.26987564761698946
emissionprobs	13	2	RNAPII_8WG16	0	0.8902429878340815
